user_id,category_id,ads
541,888,"[1954725, 2368264, 2819220, 2039982, 2917374, 2870459, 2894205, 2530547, 2738858, 2738858]"
1451,888,"[1954725, 2368264, 2819220, 2039982, 2917374, 2870459, 2894205, 2530547, 2738858, 2738858]"
5392,888,"[1954725, 2368264, 2819220, 2039982, 2917374, 2870459, 2894205, 2530547, 2738858, 2738858]"
8760,888,"[1954725, 2368264, 2819220, 2039982, 2917374, 2870459, 2894205, 2530547, 2738858, 2738858]"
4832,888,"[1954725, 2368264, 2819220, 2039982, 2917374, 2870459, 2894205, 2530547, 2738858, 2738858]"
11384,888,"[1954725, 2368264, 2819220, 2039982, 2917374, 2870459, 2894205, 2530547, 2738858, 2738858]"
501,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
5509,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
6992,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
5509,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
12667,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
2247,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
3726,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
8721,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
4499,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
11051,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
12771,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
559,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
559,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
7008,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
559,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
5835,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
7008,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
8825,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
13658,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
7008,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
13091,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
12338,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
637,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
637,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
2385,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
5743,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
8806,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
509,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
8963,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
7223,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
11518,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
2128,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
509,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
2128,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
1306,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
1318,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
4978,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
13598,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
2710,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
8064,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
10974,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
7408,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
9794,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
12723,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
6867,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
8002,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
6659,815,"[2883211, 2429412, 2886810, 2886804, 2726576, 2916864, 992440, 2683198, 2876158, 1627702]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1921,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
6691,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
